year,day,month,rate
1844,7,Sep,2.5
1845,16,Oct,3.0
1845,6,Nov,3.5
1846,27,Aug,3.0
1847,14,Jan,3.5
1847,21,Jan,4.0
1847,8,Apr,5.0
1847,5,Aug,5.5
1847,30,Sep,6.0
1847,25,Oct,8.0
1847,22,Nov,7.0
1847,2,Dec,6.0
1847,23,Dec,5.0
1848,27,Jan,4.0
1848,15,Jun,3.5
1848,2,Nov,3.0
1849,22,Nov,2.5
1850,26,Dec,3.0
1852,1,Jan,2.5
1852,22,Apr,2.0
1853,6,Jan,2.5
1853,20,Jan,3.0
1853,2,Jun,3.5
1853,1,Sep,4.0
1853,15,Sep,4.5
1853,29,Sep,5.0
1854,11,May,5.5
1854,3,Aug,5.0
1855,5,Apr,4.5
1855,3,May,4.0
1855,14,Jun,3.5
1855,6,Sep,4.0
1855,13,Sep,4.5
1855,27,Sep,5.0
1855,4,Oct,5.5
1855,18,Oct,7.0
1856,22,May,6.0
1856,29,May,5.0
1856,26,Jun,4.5
1856,2,Oct,5.0
1856,29,Oct,7.0
1856,15,Nov,7.0
1856,4,Dec,6.5
1856,18,Dec,6.0
1857,2,Apr,6.5
1857,18,Jun,6.0
1857,16,Jul,5.5
1857,8,Oct,6.0
1857,15,Oct,7.0
1857,19,Oct,8.0
1857,5,Nov,9.0
1857,12,Nov,10.0
1857,24,Dec,8.0
1858,7,Jan,6.0
1858,11,Jan,5.0
1858,28,Jan,4.0
1858,4,Feb,3.5
1858,11,Feb,3.0
1858,9,Dec,2.5
1859,28,Apr,3.5
1859,5,May,4.5
1859,2,Jun,3.5
1859,9,Jun,3.0
1859,14,Jun,2.5
1860,19,Jan,3.0
1860,31,Jan,4.0
1860,29,Mar,4.5
1860,12,Apr,5.0
1860,10,May,4.5
1860,24,May,4.0
1860,8,Nov,4.5
1860,13,Nov,5.0
1860,15,Nov,6.0
1860,29,Nov,5.0
1860,31,Dec,6.0
1861,7,Jan,7.0
1861,14,Feb,8.0
1861,21,Mar,7.0
1861,4,Apr,6.0
1861,11,Apr,5.0
1861,16,May,6.0
1861,1,Aug,5.0
1861,15,Aug,4.5
1861,29,Aug,4.0
1861,19,Sep,3.5
1861,7,Nov,3.0
1862,9,Jan,2.5
1862,22,May,3.0
1862,10,Jul,2.5
1862,24,Jul,2.0
1862,30,Oct,3.0
1863,15,Jan,4.0
1863,28,Jan,5.0
1863,19,Feb,4.0
1863,23,Apr,3.5
1863,30,Apr,3.0
1863,16,May,3.5
1863,21,May,4.0
1863,2,Nov,5.0
1863,5,Nov,6.0
1863,2,Dec,7.0
1863,3,Dec,8.0
1863,24,Dec,7.0
1864,20,Jan,8.0
1864,11,Feb,7.0
1864,25,Feb,6.0
1864,16,Apr,7.0
